epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1863.99,0.54707,0.32462,0.81476,0.99318,0.96914,0.98567,0.94038,0.28888,0.20189,0.79886,0.00779725,0.00779725,0.00779725
91,1883.36,0.54905,0.32266,0.81298,0.99955,0.96873,0.98408,0.9484,0.27041,0.19637,0.79265,0.0077725,0.0077725,0.0077725
92,1904.8,0.54003,0.32001,0.8105,0.99958,0.96868,0.9831,0.94197,0.28095,0.19546,0.79682,0.00774775,0.00774775,0.00774775
93,1924.83,0.54957,0.32179,0.81578,0.9931,0.96889,0.985,0.95415,0.27057,0.19427,0.79435,0.007723,0.007723,0.007723
94,1945.69,0.55066,0.32722,0.81449,0.98062,0.98374,0.98946,0.94789,0.28038,0.19944,0.79341,0.00769825,0.00769825,0.00769825
95,1966.68,0.54203,0.32053,0.81492,0.99278,0.97421,0.98315,0.94478,0.27872,0.19334,0.79578,0.0076735,0.0076735,0.0076735
96,1989.17,0.53953,0.32069,0.81087,0.99951,0.96909,0.98776,0.94844,0.27711,0.19357,0.79543,0.00764875,0.00764875,0.00764875
97,2012.08,0.5393,0.31925,0.81354,0.99953,0.96875,0.99037,0.94499,0.2838,0.20519,0.79404,0.007624,0.007624,0.007624
98,2031.12,0.55317,0.32547,0.81161,0.99782,0.97561,0.98399,0.94679,0.28684,0.1933,0.79633,0.00759925,0.00759925,0.00759925
99,2049.85,0.55579,0.32778,0.81257,0.99573,0.96341,0.98731,0.94777,0.27249,0.20181,0.79047,0.0075745,0.0075745,0.0075745
100,2068.93,0.5364,0.31672,0.80925,0.99951,0.96885,0.98932,0.9505,0.28132,0.19716,0.79748,0.00754975,0.00754975,0.00754975
101,2088.38,0.53121,0.31472,0.81377,0.99874,0.96341,0.99008,0.94586,0.28675,0.19499,0.79623,0.007525,0.007525,0.007525
102,2109.37,0.53608,0.31802,0.8107,0.99784,0.97561,0.98355,0.94575,0.27961,0.19193,0.79299,0.00750025,0.00750025,0.00750025
103,2132.69,0.53737,0.31882,0.80981,0.99936,0.97476,0.98428,0.94493,0.27566,0.19311,0.79391,0.0074755,0.0074755,0.0074755
104,2154.71,0.53751,0.32096,0.81056,0.99313,0.96818,0.98454,0.94648,0.27655,0.19931,0.79569,0.00745075,0.00745075,0.00745075
105,2174.08,0.53644,0.31598,0.81143,0.99829,0.97561,0.98447,0.94763,0.27133,0.18284,0.79321,0.007426,0.007426,0.007426
106,2193.77,0.53311,0.31471,0.81278,0.98666,0.97543,0.98766,0.94619,0.27663,0.19305,0.79534,0.00740125,0.00740125,0.00740125
107,2212.46,0.52415,0.30988,0.80985,0.99242,0.96951,0.98593,0.95635,0.26133,0.19203,0.79344,0.0073765,0.0073765,0.0073765
108,2232.09,0.52183,0.3107,0.80902,0.99957,0.96865,0.9854,0.94848,0.27324,0.18956,0.7902,0.00735175,0.00735175,0.00735175
109,2252.22,0.53843,0.31534,0.81117,0.99973,0.96828,0.9836,0.9529,0.27037,0.18739,0.7938,0.007327,0.007327,0.007327
110,2273.44,0.53419,0.31637,0.81423,0.99929,0.97378,0.98803,0.9527,0.27271,0.19869,0.79763,0.00730225,0.00730225,0.00730225
111,2291.78,0.54043,0.3159,0.81107,0.98499,0.97561,0.98751,0.95505,0.26504,0.19549,0.79535,0.0072775,0.0072775,0.0072775
112,2311.39,0.53504,0.31222,0.81075,0.99953,0.96927,0.98833,0.95419,0.26452,0.18046,0.79428,0.00725275,0.00725275,0.00725275
113,2330.31,0.53016,0.30968,0.81096,0.99886,0.96341,0.9882,0.94994,0.27287,0.18809,0.79487,0.007228,0.007228,0.007228
114,2350.11,0.53097,0.30965,0.81355,0.99878,0.96341,0.99116,0.94998,0.26978,0.18987,0.7959,0.00720325,0.00720325,0.00720325
115,2371.23,0.5321,0.3139,0.80675,0.99948,0.96877,0.99185,0.95677,0.26489,0.18542,0.79026,0.0071785,0.0071785,0.0071785
116,2393.23,0.51987,0.30967,0.8119,0.99286,0.97522,0.98816,0.95391,0.27568,0.18404,0.79212,0.00715375,0.00715375,0.00715375
117,2414.37,0.52655,0.31202,0.80839,0.99904,0.98023,0.99027,0.95837,0.26185,0.17756,0.78765,0.007129,0.007129,0.007129
118,2435.01,0.52444,0.3102,0.81129,0.99931,0.97718,0.98994,0.95709,0.27034,0.18291,0.79239,0.00710425,0.00710425,0.00710425
119,2454.94,0.52216,0.3089,0.81045,0.99281,0.98125,0.98972,0.95449,0.25811,0.18277,0.79231,0.0070795,0.0070795,0.0070795
120,2475.33,0.52403,0.30699,0.81117,0.99958,0.96897,0.98981,0.95542,0.26721,0.18245,0.79189,0.00705475,0.00705475,0.00705475
121,2498.74,0.52416,0.30753,0.81254,0.98643,0.98171,0.99031,0.95506,0.26011,0.18482,0.79254,0.00703,0.00703,0.00703
122,2518.43,0.5177,0.30606,0.80907,0.99881,0.96341,0.99139,0.95851,0.26837,0.18137,0.7933,0.00700525,0.00700525,0.00700525
123,2538.13,0.51842,0.30738,0.81044,0.99268,0.98068,0.99265,0.95691,0.26295,0.18004,0.7892,0.0069805,0.0069805,0.0069805
124,2559.76,0.51778,0.30892,0.80378,0.99158,0.9878,0.99177,0.96013,0.26724,0.1771,0.79107,0.00695575,0.00695575,0.00695575
125,2580.94,0.52358,0.30964,0.80659,0.99782,0.98171,0.99184,0.96321,0.26438,0.17874,0.78968,0.006931,0.006931,0.006931
126,2603.03,0.50642,0.30272,0.80718,0.99264,0.98418,0.99238,0.96245,0.26339,0.17338,0.78995,0.00690625,0.00690625,0.00690625
127,2624.97,0.52083,0.30626,0.81005,0.98651,0.9939,0.99355,0.96428,0.25524,0.17268,0.79264,0.0068815,0.0068815,0.0068815
128,2645.17,0.51194,0.29909,0.80683,0.99668,0.98171,0.99342,0.95645,0.26155,0.17663,0.79302,0.00685675,0.00685675,0.00685675
129,2664.4,0.51047,0.29851,0.80746,0.99839,0.98171,0.99279,0.96487,0.2584,0.17948,0.79108,0.006832,0.006832,0.006832
130,2683.51,0.51084,0.30356,0.80826,0.98067,0.99038,0.99305,0.96005,0.26272,0.1838,0.79028,0.00680725,0.00680725,0.00680725
131,2701.91,0.51781,0.30097,0.81266,0.99155,0.98171,0.99118,0.95481,0.26843,0.18726,0.79131,0.0067825,0.0067825,0.0067825
132,2720.4,0.52361,0.30534,0.81003,0.98682,0.98655,0.99262,0.95878,0.26399,0.17763,0.78897,0.00675775,0.00675775,0.00675775
133,2739.74,0.50515,0.29792,0.80733,0.99018,0.98171,0.9919,0.96015,0.25846,0.17159,0.7893,0.006733,0.006733,0.006733
134,2759.91,0.51681,0.30434,0.80989,0.99309,0.98643,0.99289,0.95812,0.25759,0.17073,0.79109,0.00670825,0.00670825,0.00670825
135,2780.7,0.51559,0.29985,0.80924,0.99206,0.9878,0.99295,0.95886,0.26255,0.1728,0.79289,0.0066835,0.0066835,0.0066835
136,2800.68,0.50473,0.2983,0.80738,0.99827,0.98171,0.9917,0.95912,0.25639,0.16948,0.78767,0.00665875,0.00665875,0.00665875
137,2821.24,0.50136,0.29581,0.80627,0.9977,0.98171,0.99203,0.96093,0.25034,0.16722,0.78895,0.006634,0.006634,0.006634
138,2840.88,0.50835,0.3039,0.81139,0.99925,0.98171,0.99285,0.96377,0.24422,0.16505,0.78747,0.00660925,0.00660925,0.00660925
139,2861.15,0.51391,0.30543,0.80605,0.99289,0.98168,0.99337,0.96137,0.2524,0.16934,0.78989,0.0065845,0.0065845,0.0065845
140,2881.53,0.50305,0.30132,0.80786,0.9992,0.97527,0.99264,0.95688,0.24963,0.17473,0.7909,0.00655975,0.00655975,0.00655975
141,2901.89,0.49806,0.29718,0.8067,0.9983,0.98171,0.99175,0.9632,0.24618,0.1702,0.79254,0.006535,0.006535,0.006535
142,2922.65,0.51222,0.29702,0.80664,0.99814,0.98171,0.99351,0.95866,0.24509,0.16912,0.79077,0.00651025,0.00651025,0.00651025
143,2942.27,0.51207,0.30414,0.80932,0.99928,0.98117,0.99394,0.95465,0.25708,0.17146,0.79105,0.0064855,0.0064855,0.0064855
144,2961.28,0.50216,0.29643,0.8075,0.99846,0.98171,0.99394,0.95469,0.25556,0.16768,0.7884,0.00646075,0.00646075,0.00646075
145,2980.16,0.505,0.29553,0.80816,0.99836,0.98171,0.99441,0.96081,0.24608,0.1651,0.78647,0.006436,0.006436,0.006436
146,2999.14,0.50274,0.29478,0.80765,0.99915,0.98123,0.99383,0.96253,0.24664,0.16228,0.78894,0.00641125,0.00641125,0.00641125
147,3017.99,0.49283,0.2938,0.80526,0.99829,0.98171,0.99171,0.95983,0.24678,0.16887,0.78701,0.0063865,0.0063865,0.0063865
148,3036.89,0.51009,0.29847,0.80581,0.99834,0.98171,0.99348,0.96257,0.24581,0.16554,0.78595,0.00636175,0.00636175,0.00636175
149,3055.74,0.50296,0.29624,0.80596,0.99786,0.97561,0.99328,0.95759,0.24768,0.16747,0.79039,0.006337,0.006337,0.006337
